15:05 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


15. B15线（高校线）-琴澳午班
13:15 澳门新街坊南（往口岸）
13:18 K2荔枝湾（伯牙幼儿园旁）
13:20 华发首府（4号岗）①
13:22 保利国际广场（朗琴道交琴政路北侧）
13:24 中海名钻（北门）①
13:49 澳门口岸区H2（7/8/9卡位）【上车】
14:00 澳门科技大学（望德圣母湾大马路）
14:13 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


16. A1线-上班线
07:30 金融岛（汇通五路）
07:40 华发广场（联澳路交都会道）
07:43 横琴国际商务中心（靠ICC）
08:15 澳门口岸区H2（7/8/9卡位）【上车】
08:25 澳门科技大学南门（新濠天地）①
08:27 澳门科技大学（望德圣母湾大马路）
08:32 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


17. C4线中班-上班
14:00 上村村口公交站
14:03 澳门新街坊
14:06 K2荔枝湾（伯牙幼儿园旁）
14:07 华发首府（4号岗）②
14:08 保利国际广场（琴政路南侧）
14:09 中海名钻（北门）①
14:34 澳门口岸区H2（7/8/9卡位）【上车】
14:40 澳门科技大学南门（新濠天地）①
14:42 澳门科技大学（望德圣母湾大马路）
14:48 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


18. A3线早班-上班
07:30 中医药产业园内
07:32 环岛北路西（科创中心）②
07:41 澳门新街坊
07:45 K2荔枝湾（伯牙幼儿园旁）
07:46 华发首府（4号岗）②
07:47 保利国际广场（朗琴道交琴政路北侧）
07:48 中海名钻（北门）①
08:15 澳门口岸区H2（7/8/9卡位）【上车】
08:21 澳门威尼斯人
08:24 澳门科技大学东门（轻轨站）
08:33 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


19. D6澳琴东线午班-下班
11:30 中医药产业园内
11:41 澳门新街坊
11:43 澳门新街坊南（往口岸）
11:45 市民中心（祥顺路东侧）（东3）
11:48 伯牙小学临时停靠点②
11:50 天星里②
11:51 依依桥北①
11:52 濠江路口①
12:12 澳门口岸区H2（7/8/9卡位）【上车】
12:14 莲花路停车场
12:16 机场大马路/上葡京
12:18 机场大马路/科大医院
12:28 新濠锋正门（澳城大/澳理大/澳旅大）【下车】
12:40 海上居
12:42 关闸广场（旅游巴出口停靠位）
12:46 关闸马路
12:51 观音古庙门口（澳旅大望厦校区）
12:52 观音堂（来来商场对面）
12:55 二龙喉公园


20. A5线-琴澳午上班
13:15 澳门新街坊南（往口岸）
13:17 K2荔枝湾（伯牙幼儿园旁）
13:18 华发首府（4号岗）②
13:19 保利国际广场（朗琴道交琴政路北侧）
13:20 中海名钻（北门）①
13:45 澳门口岸区H2（7/8/9卡位）【上车】
14:00 新濠锋正门（澳城大/澳理大/澳旅大）【下车】
14:14 澳门理工大学主校区（理工学院街）


21. A5线-琴澳上班
10:15 澳门新街坊南（往口岸）
10:17 K2荔枝湾（伯牙幼儿园旁）
10:18 华发首府（4号岗）②
10:19 保利国际广场（琴政路北侧）
10:20 中海名钻（北门）①
10:45 澳门口岸区H2（7/8/9卡位）【上车】
11:00 新濠锋正门（澳城大/澳理大/澳旅大）【下车】
11:14 澳门理工大学主校区（理工学院街）


22. A5线-琴澳晚下班
17:45 澳门新街坊南（往口岸）
17:47 K2荔枝湾（伯牙幼儿园旁）
17:48 华发首府（4号岗）②
17:49 保利国际广场（朗琴道交琴政路北侧）
17:50 中海名钻（北门）①
18:15 澳门口岸区H2（7/8/9卡位）【上车】
18:30 新濠锋正门（澳城大/澳理大/澳旅大）【下车】
18:44 澳门理工大学主校区（理工学院街）
